_id,close,high,low,open,ts,volume
2017-10-08T16:00:00.000Z,5848,5922,1,1,2017-10-08T16:00:00.000Z,68.49812552
2017-10-15T16:00:00.000Z,5987.54,6174.99,5159,5848,2017-10-15T16:00:00.000Z,144.338702
2017-10-22T16:00:00.000Z,5900,6020,5330.7,5987.54,2017-10-22T16:00:00.000Z,398.35202594
2017-10-29T16:00:00.000Z,7453.39,7500,5898,5900,2017-10-29T16:00:00.000Z,2395.06909612
2017-11-05T16:00:00.000Z,6175.31,7799,5100,7453.39,2017-11-05T16:00:00.000Z,11739.8226796
2017-11-12T16:00:00.000Z,7745.1,8020.25,5590.46,6174.59,2017-11-12T16:00:00.000Z,17643.28150786
2017-11-19T16:00:00.000Z,9057.15,9078.99,7727.95,7745.1,2017-11-19T16:00:00.000Z,21257.00771454
2017-11-26T16:00:00.000Z,11727.48,11770.4401,8900,9057.16,2017-11-26T16:00:00.000Z,124781.25629582
2017-12-03T16:00:00.000Z,15361.51,17387.78,10522,11727.5402,2017-12-03T16:00:00.000Z,83006.86720306
2017-12-10T16:00:00.000Z,19200.0699,19821.98,14386.0001,15361.5101,2017-12-10T16:00:00.000Z,69815.4178284
2017-12-17T16:00:00.000Z,12570.2701,19414.86,11088.04,19200.0699,2017-12-17T16:00:00.000Z,140968.6388751
2017-12-24T16:00:00.000Z,13234.7098,16500,11843.8542,12578.6502,2017-12-24T16:00:00.000Z,139406.66163378
2017-12-31T16:00:00.000Z,16484.5069,17137.4802,12752.9802,13234.7098,2017-12-31T16:00:00.000Z,185002.13953856
2018-01-07T16:00:00.000Z,12645.3397,16498.89,12559.5532,16484.5069,2018-01-07T16:00:00.000Z,275663.46527438
2018-01-14T16:00:00.000Z,11485.8445,14198.3399,9150,12645.3397,2018-01-14T16:00:00.000Z,413358.29040992
2018-01-21T16:00:00.000Z,11753.0001,13891,9970,11483.3251,2018-01-21T16:00:00.000Z,368089.02176968
2018-01-28T16:00:00.000Z,8837.6286,11944.0001,8050,11753.0001,2018-01-28T16:00:00.000Z,520067.38917514
2018-02-04T16:00:00.000Z,8426,9036.7861,6032.3096,8837.6286,2018-02-04T16:00:00.000Z,627060.9148769
2018-02-11T16:00:00.000Z,10594.7503,11249,8024,8426,2018-02-11T16:00:00.000Z,358549.53265564
2018-02-18T16:00:00.000Z,9399.9898,11774,9285.0001,10594.7503,2018-02-18T16:00:00.000Z,344933.94116646
2018-02-25T16:00:00.000Z,11142.14,11520,9291.99,9378.5824,2018-02-25T16:00:00.000Z,351180.25252198
2018-03-04T16:00:00.000Z,9062.7298,11684.6727,8350,11133.3811,2018-03-04T16:00:00.000Z,377245.19826542
2018-03-11T16:00:00.000Z,7380.8442,9890,7319,9072.8786,2018-03-11T16:00:00.000Z,283541.23449942
2018-03-18T16:00:00.000Z,8478.0664,9178.9999,7325.8001,7390.0922,2018-03-18T16:00:00.000Z,260766.84532694
2018-03-25T16:00:00.000Z,6449.8078,8664.0179,6439.7597,8468.4281,2018-03-25T16:00:00.000Z,303527.57016764
2018-04-01T16:00:00.000Z,7041,7504.509,6432.8911,6450.2031,2018-04-01T16:00:00.000Z,265409.4575286
2018-04-08T16:00:00.000Z,8275.98,8400,6620,7037.1983,2018-04-08T16:00:00.000Z,270517.2536527
2018-04-15T16:00:00.000Z,8939,9034.9899,7826,8270,2018-04-15T16:00:00.000Z,216696.0661333
2018-04-22T16:00:00.000Z,9299.7349,9758.3399,8652.9301,8930,2018-04-22T16:00:00.000Z,314649.85521252
2018-04-29T16:00:00.000Z,9510,9997,8827.4729,9318,2018-04-29T16:00:00.000Z,243891.39886342
